,model,file_path,field,semantic_diversity,lexical_diversity_ttr,lexical_diversity_distinct_1,lexical_diversity_distinct_2,lexical_diversity_distinct_3,syntactic_diversity,readability_score,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_distribution_file,avg_words_per_email,avg_sentences_per_email,avg_words_per_sentence,model_clean,method
5,bare_llama3b_claude,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama3b\claude\aggregated\aggregated_sampled_450.json,body,0.3067306280136108,0.914478313414798,0.075433956691592,0.4541268392224251,0.7601326405950032,18.79450631031923,66.84,0.0854686265190442,0.2854686265190442,0.6290627469619116,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\output\sentiment_distribution\sentiment_distribution_bare_llama3b_claude.csv,45.71111111111111,3.5733333333333333,12.792288557213933,Claude,bare_llama3b
6,bare_llama3b_deepseek,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama3b\deepseek\aggregated\aggregated_sampled_450.json,body,0.3089145421981811,0.9039198362245447,0.0656396444923242,0.3968693441351374,0.6897536170992103,19.544498886414253,66.94,0.0721891386011891,0.2721891386011891,0.6556217227976218,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\output\sentiment_distribution\sentiment_distribution_bare_llama3b_deepseek.csv,47.15111111111111,3.64,12.953601953601954,Deepseek,bare_llama3b
7,bare_llama3b_gemini,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama3b\gemini\aggregated\aggregated_sampled_450.json,body,0.3010566830635071,0.9103366714353838,0.0643570965404127,0.4077069049367294,0.7003986039326379,24.31844592922544,66.33,0.0949624348991265,0.2949624348991265,0.6100751302017469,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\output\sentiment_distribution\sentiment_distribution_bare_llama3b_gemini.csv,51.824444444444445,3.8777777777777778,13.364469914040114,Gemini,bare_llama3b
8,bare_llama3b_gpt4,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama3b\gpt-4-turbo\aggregated\aggregated_sampled_450.json,body,0.3031357526779175,0.9179850925703296,0.0729842780902928,0.4304345213053669,0.7348967473615886,18.45447166542935,66.84,0.0,0.1864149272441864,0.8135850727558136,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\output\sentiment_distribution\sentiment_distribution_bare_llama3b_gpt4.csv,49.70222222222223,3.8733333333333335,12.83189902467011,GPT4,bare_llama3b
9,bare_llama3b_mistral,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama3b\mistral\aggregated\aggregated_sampled_450.json,body,0.3064168691635132,0.8985678910441601,0.0635031978543429,0.39331951020745,0.6922878540923064,20.36716654293492,75.71,0.0971263356085174,0.2971263356085174,0.6057473287829652,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\output\sentiment_distribution\sentiment_distribution_bare_llama3b_mistral.csv,47.48444444444444,3.7511111111111113,12.658767772511847,Mistral,bare_llama3b
10,bare_llama8b_claude,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama8b\claude\aggregated\aggregated_sampled_450.json,body,0.3082871437072754,0.9110731568460004,0.0829254410927717,0.4849955178645114,0.7833461396169499,20.04552338530067,66.23,0.0845228764259012,0.2845228764259012,0.6309542471481975,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\output\sentiment_distribution\sentiment_distribution_bare_llama8b_claude.csv,44.07111111111111,3.3177777777777777,13.28332217012726,Claude,bare_llama8b
11,bare_llama8b_deepseek,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama8b\deepseek\aggregated\aggregated_sampled_450.json,body,0.3041225075721741,0.903565924205637,0.0696758941669393,0.4135216143194866,0.7076759084336841,21.481445186834943,66.64,0.1179327675302585,0.4179327675302584,0.464134464939483,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\output\sentiment_distribution\sentiment_distribution_bare_llama8b_deepseek.csv,46.373333333333335,3.54,13.099811676082863,Deepseek,bare_llama8b
12,bare_llama8b_gemini,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama8b\gemini\aggregated\aggregated_sampled_450.json,body,0.2949030995368957,0.9086790963795996,0.0701823597289753,0.4226073062963547,0.702833584834946,25.53751051719871,65.83,0.0581611141562461,0.2581611141562461,0.6836777716875077,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\output\sentiment_distribution\sentiment_distribution_bare_llama8b_gemini.csv,49.34444444444444,3.597777777777778,13.71525633106856,Gemini,bare_llama8b
13,bare_llama8b_gpt4,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama8b\gpt-4-turbo\aggregated\aggregated_sampled_450.json,body,0.3019971251487732,0.9168836978131212,0.0774247242373049,0.4496229954163199,0.7487018956050782,20.239930710220243,66.23,0.0592196993486773,0.2592196993486773,0.6815606013026453,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\output\sentiment_distribution\sentiment_distribution_bare_llama8b_gpt4.csv,47.03777777777778,3.588888888888889,13.106501547987616,GPT4,bare_llama8b
14,bare_llama8b_mistral,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama8b\mistral\aggregated\aggregated_sampled_450.json,body,0.3084605932235718,0.8960204081632653,0.0675217580736002,0.4139869503304924,0.707856452109967,23.159297203662454,66.44,0.0689663279491166,0.2689663279491165,0.6620673441017667,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\output\sentiment_distribution\sentiment_distribution_bare_llama8b_mistral.csv,45.51555555555556,3.417777777777778,13.317295188556567,Mistral,bare_llama8b
2,bare_llama3b_claude,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama3b\claude\aggregated\aggregated_sampled_450.json,body,0.3046333193778991,0.91779401626913,0.0794954855606864,0.456426444640494,0.7593703045090499,,,0.0782831360620481,0.2782831360620481,0.6434337278759038,,45.23111111111111,3.537777777777778,12.785175879396984,Claude,bare_llama3b
3,bare_llama3b_mistral,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama3b\mistral\aggregated\aggregated_sampled_450.json,body,0.3094441890716553,0.89986543313709,0.0641824775319283,0.3947905060230832,0.6935343151167314,,,0.0934521092916839,0.2934521092916838,0.6130957814166322,,46.68888888888889,3.673333333333333,12.710223835450696,Mistral,bare_llama3b
4,bare_llama8b_claude,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama8b\claude\aggregated\aggregated_sampled_450.json,body,0.3077171444892883,0.9140485601355166,0.0836203003274246,0.4816879542728107,0.7803229175487623,,,0.0595844328403473,0.2595844328403472,0.6808311343193054,,43.48222222222222,3.3577777777777778,12.949702183984115,Claude,bare_llama8b
5,bare_llama8b_mistral,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\baserefine\refine\llama8b\mistral\aggregated\aggregated_sampled_450.json,body,0.3107662796974182,0.8972637579478184,0.070703638754932,0.4169817731452558,0.7016045945768211,,,0.0173561252653599,0.2173561252653598,0.7652877494692802,,44.406666666666666,3.344444444444445,13.277740863787376,Mistral,bare_llama8b
10,iterative_bare_claude,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\iterativebaserefine\claude\aggregated_sampled_450.json,body,0.2160134315490722,0.9372562277580072,0.0529719439947339,0.4113701664339023,0.7181717904924566,,,0.0,0.0920303095257483,0.9079696904742516,,194.2010050251256,9.412060301507536,20.633208756006407,Claude,iterative_bare
11,iterative_bare_mistral,C:\Users\brk.ch\Work Folders\RF\Desktop\Master Thesis\Repo\Masterthesis-dev\syntheticdata\iterativebaserefine\mistral\aggregated_sampled_450.json,body,0.2127318978309631,0.8970328046497883,0.0427900196022419,0.3327570836842546,0.6303857444000078,,,0.0047905902792182,0.2047905902792182,0.7904188194415636,,180.04222222222222,9.673333333333334,18.61222145646681,Mistral,iterative_bare
